User: Migtuga#1693 | Time: 24/01/2018 20:18:50 +00:00 | Server: BotDev | Channel: general | Message: .kys
User: Hugo#1998 | Time: 24/01/2018 20:19:00 +00:00 | Server: BotDev | Channel: general | Message: ola miguel
User: Hugo#1998 | Time: 24/01/2018 20:19:28 +00:00 | Server: BotDev | Channel: general | Message: asd
User: Hugo#1998 | Time: 24/01/2018 20:19:28 +00:00 | Server: BotDev | Channel: general | Message: asd
User: Hugo#1998 | Time: 24/01/2018 20:19:29 +00:00 | Server: BotDev | Channel: general | Message: asd
User: Hugo#1998 | Time: 24/01/2018 20:19:29 +00:00 | Server: BotDev | Channel: general | Message: asd
User: Hugo#1998 | Time: 24/01/2018 20:19:29 +00:00 | Server: BotDev | Channel: general | Message: asd
User: Hugo#1998 | Time: 24/01/2018 20:19:29 +00:00 | Server: BotDev | Channel: general | Message: asd
User: Hugo#1998 | Time: 24/01/2018 20:19:30 +00:00 | Server: BotDev | Channel: general | Message: as
User: Hugo#1998 | Time: 24/01/2018 20:19:30 +00:00 | Server: BotDev | Channel: general | Message: d
User: Hugo#1998 | Time: 24/01/2018 20:19:30 +00:00 | Server: BotDev | Channel: general | Message: asd
User: Hugo#1998 | Time: 24/01/2018 20:19:30 +00:00 | Server: BotDev | Channel: general | Message: as
User: Hugo#1998 | Time: 24/01/2018 20:19:38 +00:00 | Server: BotDev | Channel: general | Message: d
User: Migtuga#1693 | Time: 24/01/2018 20:19:39 +00:00 | Server: BotDev | Channel: general | Message: MORRE
User: Migtuga#1693 | Time: 24/01/2018 20:19:40 +00:00 | Server: BotDev | Channel: general | Message: BOT
User: Migtuga#1693 | Time: 24/01/2018 20:19:41 +00:00 | Server: BotDev | Channel: general | Message: DE
User: Migtuga#1693 | Time: 24/01/2018 20:19:42 +00:00 | Server: BotDev | Channel: general | Message: MERDA
User: Migtuga#1693 | Time: 24/01/2018 20:19:43 +00:00 | Server: BotDev | Channel: general | Message: MORRE JÁ
User: Migtuga#1693 | Time: 24/01/2018 20:19:47 +00:00 | Server: BotDev | Channel: general | Message: SAUONBOT O CARALHO
User: Migtuga#1693 | Time: 24/01/2018 20:19:47 +00:00 | Server: BotDev | Channel: general | Message: GAYS
User: Hugo#1998 | Time: 24/01/2018 20:19:53 +00:00 | Server: BotDev | Channel: general | Message: .clear 10
User: Hugo#1998 | Time: 24/01/2018 20:19:59 +00:00 | Server: BotDev | Channel: general | Message: .clean 10
User: Hugo#1998 | Time: 24/01/2018 20:20:05 +00:00 | Server: BotDev | Channel: general | Message: .roll
User: SauronBot#3322 | Time: 24/01/2018 20:20:06 +00:00 | Server: BotDev | Channel: general | Message: 89
User: Hugo#1998 | Time: 24/01/2018 20:20:10 +00:00 | Server: BotDev | Channel: general | Message: .clear 1
User: Hugo#1998 | Time: 24/01/2018 20:20:35 +00:00 | Server: BotDev | Channel: general | Message: 
